Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
985,0.00019,0.00024,-0.0002,0.00741,0.00869,-0.00928,0.01492,-0.00483,0.02706,0.00694,-0.002,0.00085,0.00096,0.00156,-0.00011,0.00078,-0.00075,0.00061,-0.00338,-0.00026,0.00066,-0.00099,-0.00016,0.00116,-0.00045,0.00028,0.00025,0.00458,-0.00562,-0.00561,-0.00258,0.01285,-0.03813,-0.0054,-0.00428,-0.00392,-0.00014,0.00225,0.00028,-0.00014,0.00225,0.00028,0.0,-1e-05,-0.0,-0.00342,0.00531,0.02442,-0.00297,0.00226,0.00249,-0.00137,-0.0003,-0.00239,-0.00137,-0.0003,-0.00239,2e-05,0.0,-1e-05,0.15814,-0.07792,0.00481
986,0.00029,0.00024,-0.00022,0.01131,0.00852,-0.01013,-0.00345,-0.05415,0.0794,0.006,-0.00121,7e-05,0.00192,0.00097,-0.00198,0.00011,-0.00044,-0.00069,-0.00403,-0.00117,0.00023,-0.00144,-0.0008,0.00039,-0.00036,-0.00033,-1e-05,0.00458,-0.00472,-0.00549,0.00279,0.00744,-0.0508,-0.00615,-0.00435,-0.00548,-0.00048,0.00264,0.00087,-0.00048,0.00264,0.00087,0.0,-2e-05,0.0,0.00609,-0.01823,0.04078,-0.00414,0.00426,0.00559,-0.00163,-0.00054,-0.00186,-0.00163,-0.00054,-0.00186,2e-05,-0.0,-0.0,0.2311,-0.06505,0.04715
987,0.00018,0.0001,-2e-05,0.00702,0.00302,-0.00129,0.00634,-0.0865,0.07607,0.0046,-0.00108,-0.0007,0.00187,0.00052,-0.00282,-0.00021,-0.0004,-0.00121,-0.00337,-0.00231,-0.00051,-0.00177,-0.00107,9e-05,-0.00033,-0.00088,1e-05,0.00308,-0.00029,-0.00483,0.00509,-0.01519,-0.03711,-0.00424,-0.00071,-0.00432,-0.00051,0.00121,0.00081,-0.00051,0.00121,0.00081,-0.0,-1e-05,0.0,0.0116,-0.02907,0.02745,-0.00435,0.00434,0.00462,-0.00115,-0.00036,-0.00088,-0.00115,-0.00036,-0.00088,0.0,-0.0,-0.0,0.19551,0.01945,0.04264
988,-5e-05,-6e-05,0.00026,-0.0024,-0.00282,0.0111,0.00899,-0.08045,0.003,0.00295,-0.00131,-0.00154,0.00125,0.00061,-0.00213,-0.00014,-0.00075,-0.00064,-0.00178,-0.00267,-0.00058,-0.00191,-0.0012,6e-05,-0.00053,-0.001,4e-05,-0.00054,0.00446,-0.00411,0.00499,-0.04405,-0.00546,-0.00044,0.0045,-0.00122,-0.00021,-0.001,0.00015,-0.00021,-0.001,0.00015,-1e-05,1e-05,0.0,0.01237,-0.01799,-0.01364,-0.00372,0.00377,-0.00052,0.00017,-0.00018,-0.00046,0.00017,-0.00018,-0.00046,-1e-05,-0.0,-0.0,0.03621,0.11569,-0.01757
989,-0.00024,-8e-05,0.0004,-0.01014,-0.00359,0.01712,-0.00987,-0.03109,-0.0992,0.00157,-0.00097,-0.00168,0.00095,0.00093,-0.00058,7e-05,-0.00095,0.00025,-0.0007,-0.00165,0.00064,-0.00211,-0.00169,-0.00045,-0.0007,-0.00069,-0.00044,-0.00423,0.00664,-0.00474,0.01044,-0.06233,0.0167,0.00199,0.00742,0.00112,0.00017,-0.00232,-0.00062,0.00017,-0.00232,-0.00062,-1e-05,2e-05,-0.0,0.01062,0.0091,-0.0522,-0.00321,0.00413,-0.00608,0.00158,-0.00033,-0.00106,0.00158,-0.00033,-0.00106,-2e-05,-0.0,-1e-05,-0.13678,0.15794,-0.10576
990,-0.00031,-2e-05,0.00029,-0.01312,-0.00088,0.01257,-0.02693,0.03459,-0.16518,0.00149,-0.0007,-0.0004,0.00122,0.00051,0.00098,0.00033,-0.00048,0.00062,-0.00055,-7e-05,0.00234,-0.00241,-0.00238,-0.00135,-0.00065,-0.00042,-0.00116,-0.00571,0.00523,-0.00594,0.02227,-0.05727,0.01541,0.0011,0.00639,0.00132,0.00038,-0.00203,-0.0011,0.00038,-0.00203,-0.0011,-0.0,2e-05,-0.0,0.00961,0.03361,-0.06074,-0.00318,0.00487,-0.0082,0.00217,-0.00057,-0.00184,0.00217,-0.00057,-0.00184,-2e-05,-0.0,-1e-05,-0.19965,0.10067,-0.16942
991,-0.00031,-1e-05,4e-05,-0.01258,0.00036,0.00214,-0.02207,0.07453,-0.15336,0.0029,-0.00181,0.00143,0.00158,-0.00072,0.00218,0.00045,0.00039,0.00045,-0.00052,0.00062,0.0029,-0.00253,-0.00256,-0.00177,-0.00055,-0.00054,-0.00135,-0.00453,0.00056,-0.00547,0.02897,-0.03229,0.00324,-0.0016,0.00348,0.00055,0.00034,-0.00059,-0.00111,0.00034,-0.00059,-0.00111,0.0,1e-05,-0.0,0.01146,0.03575,-0.03646,-0.00368,0.00484,-0.00571,0.00178,-0.00052,-0.00167,0.00178,-0.00052,-0.00167,-0.0,-0.0,-1e-05,-0.11601,-0.06996,-0.16149
992,-0.00024,-3e-05,-0.00014,-0.00943,0.00038,-0.00558,-0.01203,0.06518,-0.08577,0.00453,-0.00394,0.00213,0.00165,-0.00177,0.00285,0.00018,0.00099,0.00019,-0.00067,0.00028,0.00223,-0.00244,-0.00195,-0.00118,-0.00058,-0.00082,-0.00081,-0.00169,-0.00504,-0.00395,0.02097,-0.00929,-0.00342,-0.00332,0.00163,0.00011,7e-05,0.00115,-0.00069,7e-05,0.00115,-0.00069,0.0,-1e-05,-0.0,0.01457,0.01544,0.00133,-0.00508,0.00406,-0.00072,0.00082,-0.00028,-0.00061,0.00082,-0.00028,-0.00061,1e-05,-0.0,-0.0,0.02607,-0.2547,-0.09168
993,-0.0001,4e-05,-0.00013,-0.00398,0.00212,-0.00552,-0.023,0.02498,-0.03142,0.0049,-0.00536,0.00123,0.00141,-0.00185,0.0028,-0.00024,0.00088,0.00017,-0.00159,0.00021,0.00174,-0.00226,-0.00091,0.00022,-0.00044,-0.00068,-5e-05,0.00057,-0.00707,-0.00421,0.00427,-0.00874,-0.00075,-0.00271,0.00141,0.00022,-0.00025,0.00213,-0.00025,-0.00025,0.00213,-0.00025,0.0,-1e-05,-0.0,0.01797,-0.00276,0.02089,-0.0074,0.00307,0.00206,-3e-05,-0.00012,0.00024,-3e-05,-0.00012,0.00024,2e-05,-0.0,0.0,0.07274,-0.26826,-0.03132
994,-0.0,0.00012,1e-05,-0.00045,0.00417,0.00017,-0.0423,0.00247,-0.0278,0.00383,-0.00531,-0.00045,0.00108,-0.00133,0.00187,-0.00015,0.00011,0.00027,-0.0023,0.00111,0.00195,-0.00192,0.00027,0.0017,9e-05,-8e-05,0.00052,0.00045,-0.00331,-0.00597,-0.00743,-0.02714,0.00441,-0.00073,0.00192,0.00035,-0.00038,0.00145,-0.00032,-0.00038,0.00145,-0.00032,-0.0,-0.0,-0.0,0.02381,-0.00061,0.00412,-0.00937,0.00213,-0.0002,-0.00021,-3e-05,9e-05,-0.00021,-3e-05,9e-05,0.0,-0.0,0.0,-0.0148,-0.07333,-0.03157
995,-8e-05,9e-05,0.00013,-0.00369,0.0032,0.00536,-0.02681,0.02364,-0.04566,0.00245,-0.00499,-0.00205,0.00081,-0.00107,0.00046,0.00068,-0.00066,0.00018,-0.00122,0.00208,0.00195,-0.00128,0.00135,0.00251,0.00059,0.00044,0.00085,-0.00063,0.00221,-0.00612,-0.00958,-0.04325,0.00116,0.00074,0.00295,-0.00052,-0.00029,-0.0003,-0.00085,-0.00029,-0.0003,-0.00085,-1e-05,1e-05,-0.0,0.02971,0.00918,-0.02644,-0.00931,0.00166,-0.00417,-3e-05,0.00011,-0.00078,-3e-05,0.00011,-0.00078,-1e-05,0.0,-0.0,-0.09291,0.11159,-0.06647
996,-0.00025,-1e-05,0.00014,-0.0105,0.00015,0.00611,0.0356,0.06015,-0.04866,0.00182,-0.0058,-0.00338,0.00053,-0.0012,-0.00021,0.00156,-0.00088,0.0001,0.00087,0.00195,0.00126,-0.00062,0.00175,0.00242,0.00057,0.00051,0.00096,7e-05,0.00368,-0.00432,-0.00702,-0.04417,-0.00948,0.00086,0.00456,-0.0021,-0.00013,-0.00144,-0.00123,-0.00013,-0.00144,-0.00123,-1e-05,1e-05,-0.0,0.02774,0.00854,-0.03462,-0.00661,0.00182,-0.0048,-0.00036,0.00016,-0.0014,-0.00036,0.00016,-0.0014,-1e-05,1e-05,-1e-05,-0.04105,0.07456,-0.08587
997,-0.00031,-5e-05,6e-05,-0.01263,-0.001,0.00284,0.09421,0.0659,-0.03901,0.00181,-0.00797,-0.00473,0.00017,-0.00147,0.00036,0.0018,-0.00061,0.00026,0.00183,0.00096,0.00072,-0.00028,0.00113,0.00185,9e-05,0.00043,0.00076,0.00226,0.00087,-0.00354,-0.00367,-0.03511,-0.01171,0.0002,0.00579,-0.00232,-5e-05,-0.00121,-0.00101,-5e-05,-0.00121,-0.00101,-0.0,0.0,-0.0,0.01492,0.00433,-0.0194,-0.00258,0.00167,-0.00251,-0.00115,2e-05,-0.00108,-0.00115,2e-05,-0.00108,0.0,0.0,-0.0,0.06329,-0.13392,-0.08385
998,-0.00019,1e-05,-4e-05,-0.00775,0.00108,-0.0015,0.0841,0.03115,-0.02911,0.00184,-0.01046,-0.00615,0.00015,-0.00224,0.00062,0.00142,-0.00021,-1e-05,0.00129,0.0003,0.00089,-0.00019,0.00016,0.00138,-0.00042,0.00067,0.00033,0.00362,-0.00201,-0.00516,-0.00066,-0.02564,0.00047,-0.00063,0.00521,-0.0004,-3e-05,-0.00037,-0.00028,-3e-05,-0.00037,-0.00028,-0.0,-0.0,-0.0,-0.00116,0.00946,-0.00539,3e-05,0.00062,-0.001,-0.00139,-0.0001,-0.00019,-0.00139,-0.0001,-0.00019,1e-05,-0.0,0.0,0.05516,-0.31346,-0.08633
999,-2e-05,0.0001,-7e-05,-0.00112,0.004,-0.00296,0.00317,-0.00917,-0.01808,0.00212,-0.01141,-0.0067,0.00091,-0.00337,-0.00079,0.00083,8e-05,-0.00116,0.00055,0.00045,0.00122,-0.00011,-0.0001,0.00127,-0.00064,0.00112,4e-05,0.00333,-0.00268,-0.00729,0.00047,-0.01805,0.01195,-0.0015,0.0025,0.00157,0.0,0.00027,0.00052,0.0,0.00027,0.00052,0.0,-0.0,0.0,-0.00618,0.01511,-0.00041,-0.0005,-0.00012,-0.00082,-0.00079,1e-05,0.00038,-0.00079,1e-05,0.00038,0.0,-0.0,0.0,-0.091,-0.34404,-0.10249
1000,8e-05,0.00013,1e-05,0.00255,0.00461,0.00015,-0.08011,-0.01449,-0.00971,0.00313,-0.0092,-0.00506,0.00198,-0.00341,-0.00237,0.00033,9e-05,-0.00207,0.00035,0.00086,0.00114,-0.00014,0.00045,0.00154,-0.00067,0.00128,0.00019,0.002,-0.00219,-0.0074,-0.0031,-0.01129,0.00864,-0.0018,-0.0009,0.00147,-3e-05,0.00069,0.00092,-3e-05,0.00069,0.00092,0.0,-0.0,0.0,0.00799,0.00406,0.00667,-0.00328,0.00049,0.00025,-0.00024,0.00021,0.00014,-0.00024,0.00021,0.00014,-0.0,0.0,-0.0,-0.2315,-0.24888,-0.11661
1001,0.0001,4e-05,0.00012,0.00368,0.00077,0.00461,-0.10491,0.01508,-0.01895,0.00447,-0.00445,-0.00129,0.00239,-0.00153,-0.00165,-0.0001,-0.00019,-0.00135,0.00069,0.00098,0.0008,-0.0005,0.0011,0.00184,-0.00074,0.00092,0.00058,0.00035,-0.00182,-0.00463,-0.01355,-0.00673,-0.00644,-0.00078,-0.00266,-0.00067,-0.00024,0.00103,0.00088,-0.00024,0.00103,0.00088,-0.0,-1e-05,0.0,0.03422,-0.02134,0.02002,-0.00644,0.00118,0.00262,-0.00041,0.00033,-0.00069,-0.00041,0.00033,-0.00069,-1e-05,1e-05,-0.0,-0.2411,-0.12604,-0.11672
1002,0.0001,-0.00016,0.00014,0.00419,-0.00682,0.00616,-0.08035,0.03827,-0.04563,0.00531,-0.00014,0.00258,0.00195,0.00089,0.00122,-0.0005,-0.00054,0.00057,0.00137,0.00078,0.00048,-0.00126,0.00116,0.00139,-0.00083,0.00022,0.00063,-0.00067,-0.00138,-0.00099,-0.02621,-0.00542,-0.02151,0.00121,-0.00191,-0.00322,-0.00054,0.00102,0.00066,-0.00054,0.00102,0.00066,-1e-05,-1e-05,0.0,0.05874,-0.0402,0.02868,-0.00898,0.00058,0.00404,-0.00113,0.00032,-0.00143,-0.00113,0.00032,-0.00143,-0.0,1e-05,-1e-05,-0.15851,-0.04767,-0.11629
1003,5e-05,-0.00032,0.0001,0.00316,-0.0122,0.00477,-0.05223,0.02336,-0.05692,0.00522,0.00097,0.00399,0.00126,0.00182,0.0034,-0.0006,-0.00064,0.00184,0.00184,0.00029,0.00025,-0.00218,0.00041,-6e-05,-0.0007,-0.00043,-1e-05,-0.00065,-8e-05,0.00012,-0.03006,-0.0055,-0.02555,0.00276,-1e-05,-0.00423,-0.00062,0.00024,0.00036,-0.00062,0.00024,0.00036,-1e-05,-1e-05,0.0,0.0746,-0.0373,0.01794,-0.01039,0.00015,0.0024,-0.00191,0.00019,-0.00113,-0.00191,0.00019,-0.00113,-0.0,1e-05,-0.0,-0.10669,-0.01799,-0.12948
1004,-5e-05,-0.00022,5e-05,-0.00121,-0.00812,0.00247,-0.04073,-0.01931,-0.02173,0.004,-0.00106,0.00181,0.00068,0.00112,0.0028,-0.00034,-0.00059,0.00153,0.00166,-0.00048,0.00024,-0.00277,-0.00086,-0.00158,-0.00018,-0.00074,-0.00096,-0.00048,0.00204,-0.00194,-0.02204,-0.00505,-0.01694,0.00274,0.00133,-0.00309,-0.00034,-0.00094,-2e-05,-0.00034,-0.00094,-2e-05,-1e-05,0.0,0.0,0.08157,-0.02098,-0.01023,-0.01002,0.00212,-0.00135,-0.00258,-0.0,0.0002,-0.00258,-0.0,0.0002,-0.0,-0.0,0.0,-0.11146,-0.02981,-0.13972
1005,-0.00015,9e-05,-2e-05,-0.00658,0.00401,-0.00075,-0.03768,-0.05506,0.03276,0.00202,-0.00373,-0.00254,7e-05,0.00035,0.00026,9e-05,-0.00077,0.00049,0.0012,-0.00117,0.00045,-0.00269,-0.00181,-0.00194,0.00049,-0.00068,-0.00142,-0.00042,0.00374,-0.00468,-0.01357,-0.00647,-0.00895,0.00138,0.00178,-0.00175,-1e-05,-0.00127,-0.00036,-1e-05,-0.00127,-0.00036,-0.0,1e-05,-0.0,0.0773,-0.01277,-0.03249,-0.00767,0.0056,-0.00362,-0.00325,-8e-05,0.00117,-0.00325,-8e-05,0.00117,0.0,-1e-05,1e-05,-0.1076,-0.10223,-0.14517
1006,-0.00016,0.00032,-0.0001,-0.00739,0.01242,-0.00486,-0.03917,-0.05413,0.03932,0.00072,-0.00515,-0.00591,-0.00025,0.00026,-0.00204,0.00042,-0.00124,-0.00024,0.00092,-0.0014,0.00049,-0.00205,-0.00169,-0.00102,0.00085,-0.00046,-0.00103,0.00043,0.00396,-0.00641,-0.0149,-0.0134,-0.00993,0.00014,0.00184,-0.00173,0.00015,-0.00035,-0.00063,0.00015,-0.00035,-0.00063,0.0,1e-05,-0.0,0.06299,-0.01741,-0.03405,-0.0043,0.00701,-0.00301,-0.00381,9e-05,0.00064,-0.00381,9e-05,0.00064,1e-05,-0.0,1e-05,-0.10034,-0.2025,-0.188
1007,-4e-05,0.00019,-0.00013,-0.00204,0.00736,-0.00572,-0.05354,-0.01637,-0.01814,0.00115,-0.00586,-0.00615,2e-05,-0.00029,-0.00284,0.00064,-0.00152,-0.00061,0.00038,-0.00128,2e-05,-0.00135,-0.00068,0.0002,0.00063,-0.00036,-0.00018,0.00184,0.00318,-0.00693,-0.02313,-0.02173,-0.01035,0.00026,0.00161,-0.00191,0.00026,0.0006,-0.00082,0.00026,0.0006,-0.00082,1e-05,0.0,-0.0,0.05491,-0.02101,-0.02425,-0.00224,0.00478,-0.00176,-0.00393,0.00042,-0.00082,-0.00393,0.00042,-0.00082,1e-05,1e-05,-0.0,-0.14461,-0.22099,-0.26596
1008,9e-05,-0.00019,4e-05,0.0041,-0.00722,0.00182,-0.08072,0.02133,-0.08363,0.00237,-0.00675,-0.00407,0.00028,-0.00164,-0.00196,0.00076,-0.00125,-0.00067,-0.00092,-0.0011,-0.0008,-0.00101,0.00053,0.00089,0.00013,-0.00052,0.00059,0.0028,0.00234,-0.00584,-0.0303,-0.02166,-0.00533,0.00147,0.00094,-0.00144,0.0003,0.00063,-0.00062,0.0003,0.00063,-0.00062,1e-05,0.0,-0.0,0.06869,-0.01813,-0.01063,-0.00377,0.00143,-0.00103,-0.00344,0.00068,-0.00201,-0.00344,0.00068,-0.00201,0.0,2e-05,-1e-05,-0.17275,-0.11467,-0.29944
1009,0.0001,-0.00043,0.00035,0.00493,-0.01727,0.01531,-0.10049,0.0255,-0.10842,0.00274,-0.007,-0.00217,-0.00022,-0.00197,0.0003,0.0006,-0.0005,-1e-05,-0.00219,-0.00081,-0.00143,-0.00112,0.00145,0.00106,-0.00029,-0.00071,0.00098,0.00351,0.00127,-0.00342,-0.03218,-0.01113,-0.00402,0.0026,0.00029,-0.00136,4e-05,0.00017,0.00015,4e-05,0.00017,0.00015,0.0,-0.0,0.0,0.09873,-0.01565,0.00987,-0.00871,9e-05,0.00025,-0.00262,0.00065,-0.00253,-0.00262,0.00065,-0.00253,-2e-05,2e-05,-1e-05,-0.0424,0.02305,-0.24749
1010,2e-05,-0.00033,0.00055,0.00079,-0.01409,0.02366,-0.09277,0.00913,-0.09129,0.00181,-0.0056,-0.00185,-0.00147,0.0001,0.00315,0.00012,0.00057,0.0014,-0.00218,-0.00052,-0.00148,-0.0017,0.00187,0.00108,-0.00072,-0.00061,0.00097,0.00373,-0.00012,-0.00078,-0.02886,0.00023,-0.00803,0.00305,0.00047,-0.00189,-0.0003,-0.00016,0.00075,-0.0003,-0.00016,0.00075,-0.0,-1e-05,0.0,0.12898,-0.01546,0.02886,-0.01391,0.00078,0.00167,-0.00227,0.00033,-0.00268,-0.00227,0.00033,-0.00268,-3e-05,1e-05,-2e-05,0.23919,0.10417,-0.15722
1011,-4e-05,-3e-05,0.00045,-0.00248,-0.0026,0.01878,-0.05826,0.0059,-0.04803,0.00045,-0.00319,-0.00252,-0.00282,0.00331,0.00536,-0.00038,0.00174,0.00277,-0.00064,-0.00076,-0.00104,-0.00282,0.0015,0.00109,-0.00137,-0.00028,0.00059,0.00229,-0.00083,0.00102,-0.02552,0.00121,-0.0078,0.00287,0.00156,-0.00189,-0.00019,-0.00035,0.00043,-0.00019,-0.00035,0.00043,-0.0,-0.0,0.0,0.14965,-0.01355,0.03143,-0.01608,0.00171,0.00158,-0.00299,-0.0001,-0.00255,-0.00299,-0.0001,-0.00255,-3e-05,1e-05,-1e-05,0.48672,0.16409,-0.07478
1012,0.0,0.00019,0.00014,-0.00078,0.00651,0.00522,-0.01072,0.01675,-0.00336,5e-05,-0.00142,-0.00276,-0.00335,0.00521,0.00593,-0.00087,0.00249,0.00317,0.00153,-0.00134,-0.0002,-0.00418,0.00043,0.00095,-0.00195,-8e-05,4e-05,-9e-05,0.00021,0.00122,-0.03025,-0.0104,-0.00192,0.00221,0.00255,-0.00118,0.00039,-0.00046,-0.00041,0.00039,-0.00046,-0.00041,0.0,1e-05,-0.0,0.15526,-0.01066,0.0201,-0.015,0.00222,0.00029,-0.00436,-0.00048,-0.00183,-0.00436,-0.00048,-0.00183,-2e-05,-0.0,-1e-05,0.52351,0.28439,-0.01274
1013,0.0001,0.00021,-0.00013,0.00364,0.0076,-0.00594,0.02889,0.01555,0.00516,0.00137,-0.00146,-0.00214,-0.0023,0.00448,0.00456,-0.00155,0.00227,0.00225,0.00308,-0.00115,0.0011,-0.00485,-0.00061,0.00078,-0.00216,3e-05,-0.0004,-0.00116,0.00348,-0.00043,-0.0444,-0.0271,0.00058,0.00151,0.00222,-0.00092,0.00089,-0.00041,-0.0008,0.00089,-0.00041,-0.0008,1e-05,2e-05,-0.0,0.14452,-0.01091,0.00804,-0.01285,0.00278,-0.00065,-0.00534,-0.00071,-0.00075,-0.00534,-0.00071,-0.00075,-2e-05,-1e-05,0.0,0.3301,0.4597,0.0017
1014,0.00013,3e-05,-0.00023,0.00569,0.00155,-0.00968,0.02955,-0.00431,-0.0326,0.00303,-0.00326,-0.00201,-0.00043,0.00198,0.00186,-0.00201,0.0012,0.00059,0.00336,0.0002,0.00261,-0.00412,-0.00092,0.00111,-0.00209,0.0005,-0.00046,-0.0002,0.00806,-0.00347,-0.05864,-0.03828,-0.00496,0.00155,0.00043,-0.00173,0.00087,-0.00021,-0.00052,0.00087,-0.00021,-0.00052,1e-05,1e-05,-0.0,0.12698,-0.01321,0.00279,-0.01084,0.0035,-0.0007,-0.00574,-0.00071,-0.00031,-0.00574,-0.00071,-0.00031,-2e-05,-1e-05,0.0,0.04965,0.59756,-0.05099
1015,7e-05,-0.00019,-0.00022,0.00401,-0.00641,-0.00901,-0.02288,-0.02383,-0.07726,0.00257,-0.00546,-0.0039,0.00018,-0.0,-0.00069,-0.00149,6e-05,-0.00054,0.00266,0.00149,0.0036,-0.0024,-0.00061,0.00219,-0.00191,0.00133,-8e-05,0.00182,0.01093,-0.0066,-0.06192,-0.03706,-0.01365,0.00243,-0.00161,-0.0029,0.00044,1e-05,-5e-05,0.00044,1e-05,-5e-05,1e-05,0.0,-0.0,0.11985,-0.01044,0.00936,-0.00859,0.00349,6e-05,-0.00634,-0.00055,-0.00085,-0.00634,-0.00055,-0.00085,-3e-05,-1e-05,-0.0,-0.11831,0.63107,-0.11741
1016,-1e-05,-0.00028,-0.00019,0.00097,-0.00943,-0.00751,-0.09707,-0.03009,-0.08798,-2e-05,-0.00643,-0.00684,-0.00106,-6e-05,-0.00174,-0.00017,-0.00053,-0.00041,0.00177,0.00129,0.0036,-0.00084,-0.00041,0.00346,-0.00158,0.00194,0.00043,0.00412,0.00941,-0.00774,-0.05087,-0.02374,-0.01729,0.00273,-0.00258,-0.00318,-7e-05,-3e-05,0.00034,-7e-05,-3e-05,0.00034,-0.0,-1e-05,0.0,0.13413,0.0024,0.03134,-0.00676,0.00119,0.00143,-0.00751,-0.00033,-0.00129,-0.00751,-0.00033,-0.00129,-2e-05,-0.0,-0.0,-0.05399,0.58042,-0.10682
1017,-0.0001,-0.00016,-0.00014,-0.00302,-0.00517,-0.00541,-0.1474,-0.02308,-0.05906,-0.00219,-0.00599,-0.00827,-0.0024,0.0008,-0.00133,0.00091,-0.00048,0.00029,0.0014,-0.00027,0.00289,-0.00039,-0.00083,0.00396,-0.00129,0.00193,0.00064,0.00633,0.00403,-0.00481,-0.03271,-0.00371,-0.01223,0.00077,-0.00242,-0.00188,-0.00035,-0.00028,0.00072,-0.00035,-0.00028,0.00072,-1e-05,-1e-05,0.0,0.16399,0.01655,0.06216,-0.00716,-0.00345,0.00315,-0.00853,-5e-05,-0.00048,-0.00853,-5e-05,-0.00048,-2e-05,-1e-05,0.0,0.21616,0.49521,0.00628
1018,-0.00023,1e-05,-4e-05,-0.0094,0.00131,-0.00149,-0.16242,-0.00396,-0.00062,-0.00245,-0.00538,-0.00751,-0.00265,0.00092,-0.00069,0.0015,-0.00025,0.0006,0.00194,-0.00161,0.00213,-0.00132,-0.00144,0.00323,-0.00128,0.00138,0.00034,0.00743,-0.00203,0.00231,-0.0207,0.01621,-0.0024,-0.00277,-0.00194,0.00025,-0.00039,-0.00017,0.00088,-0.00039,-0.00017,0.00088,-1e-05,-1e-05,0.0,0.19145,0.0147,0.08348,-0.01011,-0.0075,0.00467,-0.00863,0.00034,0.00105,-0.00863,0.00034,0.00105,-3e-05,-1e-05,1e-05,0.54088,0.3952,0.15983
1019,-0.00038,8e-05,0.0001,-0.0158,0.00381,0.0047,-0.15498,0.01675,0.07211,-0.00153,-0.00564,-0.00619,-0.00261,0.00028,-0.00091,0.00202,-0.00057,0.00053,0.00309,-0.00142,0.00176,-0.00317,-0.00143,0.0018,-0.00148,0.00062,-0.00017,0.00633,-0.00534,0.0098,-0.02162,0.02969,0.00373,-0.00539,-0.00156,0.00159,-0.00033,0.00043,0.00043,-0.00033,0.00043,0.00043,-0.0,-0.0,0.0,0.20044,-0.00138,0.0825,-0.0137,-0.00818,0.00509,-0.00788,0.00084,0.00196,-0.00788,0.00084,0.00196,-3e-05,-0.0,1e-05,0.73131,0.30881,0.27346
1020,-0.0004,5e-05,0.00025,-0.01692,0.00216,0.01097,-0.12599,0.01384,0.13139,-0.00019,-0.00655,-0.00543,-0.00309,-8e-05,-0.00187,0.00245,-0.00144,0.00048,0.00374,-0.00021,0.00177,-0.005,-0.0007,0.00079,-0.00163,4e-05,-0.00044,0.0039,-0.00457,0.01156,-0.02958,0.03346,-0.00139,-0.00586,-0.00143,0.00093,-0.00024,0.0009,-0.00048,-0.00024,0.0009,-0.00048,-0.0,0.0,-0.0,0.18581,-0.00622,0.07147,-0.01608,-0.00717,0.00431,-0.00686,0.00143,0.00197,-0.00686,0.00143,0.00197,-2e-05,1e-05,1e-05,0.68239,0.29591,0.3155
